SYMBOL,2023-09-01,2023-01-03,2022-09-15,2023-09-15
AUROPHARMA,825.55,441.3,547.15,898.85
AURUM,132.95,121.65,,128.55
AUSOMENT,79.25,72.75,77.2,75.4
AUTOAXLES,2232.0,2004.95,2072.0,2295.6
AUTOBEES,161.83,127.8,134.67,166.89
AVADHSUGAR,577.9,549.6,539.75,686.9
AVALON,502.0,,,580.1
AVANTIFEED,438.15,390.15,511.0,455.3
AVG,251.65,,,263.7
AVROIND,116.6,154.45,116.8,116.8
AVTNPL,81.35,109.1,111.8,78.75
AWHCL,343.7,319.7,336.85,330.2
AWL,352.25,600.3,730.4,352.3
AXISBANK,991.15,962.3,790.0,1027.15
AXISBNKETF,450.47,437.2,416.22,469.68
AXISBPSETF,11.15,10.63,10.49,11.17
AXISCETF,84.93,76.59,80.79,87.0
AXISGOLD,50.57,47.72,43.15,50.26
AXISHCETF,95.52,80.83,79.75,99.15
AXISILVER,75.99,70.93,,73.19
AXISNIFTY,208.28,193.89,189.98,216.03
AXISTECETF,328.13,299.82,285.33,345.49
AXSENSEX,65.69,,,67.99
AYMSYNTEX,71.25,74.85,88.35,67.05
BAIDFIN,35.95,,,34.5
BAJAJ-AUTO,4668.45,3601.7,3768.0,5130.5
BAJAJCON,257.4,171.15,163.65,233.2
BAJAJELEC,1177.6,1182.4,1180.1,
BAJAJFINSV,1514.5,1563.0,1772.2,1538.1
BAJAJHCARE,371.0,454.15,380.3,413.45
BAJAJHIND,25.1,16.95,11.25,27.0
BAJAJHLDNG,7340.8,5660.5,7110.6,7103.1
BAJFINANCE,7320.6,6606.25,7386.3,7492.2
BALAJITELE,71.35,45.3,56.05,64.2
BALAMINES,2226.8,2636.0,3739.45,2207.35
BALAXI,458.75,590.2,,454.15
BALKRISHNA,27.85,,39.55,29.05
BALKRISIND,2361.8,2129.6,2031.45,2538.85
BALMLAWRIE,167.65,124.5,129.5,169.0
BALPHARMA,96.8,90.75,98.25,95.95
BALRAMCHIN,395.5,402.3,374.35,441.7
BANARBEADS,93.8,81.35,79.4,91.15
BANARISUG,2714.55,2800.3,3025.25,2859.6
BANCOINDIA,515.25,199.35,207.2,484.85
BANDHANBNK,235.1,240.55,304.6,249.35
BANG,45.9,49.0,45.8,47.2
BANKA,71.2,78.2,69.7,73.55
BANKBARODA,190.6,187.5,140.05,210.8
BANKBEES,452.8,439.23,417.53,470.74
BANKETF,444.27,,,462.01
BANKINDIA,88.0,93.7,53.0,105.75
BANSWRAS,164.8,122.9,108.9,154.45
BARBEQUE,701.95,976.4,1101.15,691.2
BASF,2628.55,2777.75,3163.75,2698.5
BASML,49.75,56.0,61.55,49.3
BATAINDIA,1684.2,1645.85,1888.9,1686.55
BAYERCROP,4790.45,4849.2,5139.0,5162.95
BBETF0432,1083.33,1033.1,1022.67,1084.55
BBL,4212.1,2467.6,2068.0,4012.6
BBOX,220.25,133.55,144.8,195.9
