SYMBOL,2022-09-15,2023-01-03,2023-09-01,2023-09-15
HDFCLOWVOL,,132.0,149.0,153.56
HDFCMID150,,,148.67,152.58
HDFCMOMENT,,195.0,231.93,232.55
HDFCNEXT50,450.14,423.51,450.19,462.46
HDFCNIF100,183.14,184.0,196.51,203.36
HDFCNIFBAN,,,449.97,467.42
HDFCNIFIT,,287.7,318.3,336.5
HDFCNIFTY,,,212.18,220.77
HDFCPVTBAN,,221.0,233.35,240.42
HDFCQUAL,,38.55,44.0,44.2
HDFCSENSEX,,,718.97,745.81
HDFCSILVER,56.17,68.85,73.5,70.72
HDFCSML250,,,120.72,123.4
HDFCVALUE,,91.86,103.03,106.81
HEADSUP,13.25,16.65,12.45,12.1
HEALTHY,7.93,8.08,9.59,9.91
HECPROJECT,29.25,57.4,44.7,46.85
HEG,1195.15,1077.2,1745.25,1745.65
HEIDELBERG,195.3,189.0,192.25,187.8
HEMIPROP,103.2,112.65,118.3,117.85
HERANBA,586.8,500.5,366.5,376.75
HERCULES,190.75,217.6,351.1,323.5
HERITGFOOD,329.55,371.5,256.05,237.9
HEROMOTOCO,2790.3,2720.4,2927.4,3064.85
HESTERBIO,2144.2,1792.8,1719.35,1736.3
HEUBACHIND,,,461.35,491.9
HEXATRADEX,166.8,156.0,145.75,149.8
HFCL,79.2,76.65,74.85,72.9
HGINFRA,625.4,639.45,922.9,985.3
HGS,1423.95,1336.1,1005.65,1020.0
HIKAL,372.8,416.85,308.45,305.45
HIL,3524.7,2716.8,2993.5,3054.3
HIMATSEIDE,104.6,83.1,147.6,146.85
HINDALCO,424.4,479.9,473.25,496.55
HINDCOMPOS,393.65,308.2,421.35,446.9
HINDCOPPER,122.0,116.35,167.1,161.3
HINDMOTORS,16.9,,14.8,15.8
HINDOILEXP,156.9,139.65,166.0,171.35
HINDPETRO,238.4,237.7,250.25,252.25
HINDUNILVR,2560.4,2542.05,2504.8,2469.7
HINDWAREAP,399.1,459.85,591.4,578.35
HINDZINC,290.75,331.65,319.7,321.5
HITECH,617.4,859.55,77.15,87.5
HITECHGEAR,235.45,257.05,398.0,386.35
HLEGLAS,3753.0,660.6,583.85,588.35
HLVLTD,9.85,12.0,18.25,19.75
