SYMBOL,2022-09-15,2023-01-03,2023-09-01,2023-09-15
21STCENMGM,25.6,22.55,18.75,20.0
360ONE,,,477.6,526.65
3IINFOLTD,51.5,41.3,32.8,38.4
3MINDIA,22873.45,21602.0,31151.35,30366.8
5PAISA,378.8,320.3,449.45,440.15
63MOONS,186.35,168.65,333.95,293.8
AAATECH,,63.85,65.6,61.3
AARTIDRUGS,456.95,449.9,569.6,584.4
AARTIIND,907.25,616.8,491.05,512.5
AARTIPHARM,,,389.0,469.4
AARTISURF,859.95,634.5,642.6,641.25
AARVEEDEN,26.55,25.35,23.2,25.15
AARVI,158.4,176.6,129.0,126.8
AAVAS,2211.65,1798.05,1627.25,1674.55
ABAN,56.6,49.4,48.15,46.35
ABB,3296.95,2689.4,4291.45,4379.4
ABBOTINDIA,17887.65,21680.85,22704.65,23351.15
ABCAPITAL,120.1,154.35,184.1,184.55
ABFRL,340.0,285.55,218.35,225.3
ABSLAMC,481.85,457.9,389.5,415.45
ABSLBANETF,41.38,43.52,44.81,46.56
ABSLNN50ET,46.46,43.67,46.13,47.46
ACC,2747.7,2442.7,2011.25,2026.85
ACCELYA,1172.7,1411.35,1594.55,1519.75
ACE,304.15,310.85,760.65,706.8
ACI,,525.45,664.3,612.3
ADANIENSOL,,,824.9,846.1
ADANIENT,3748.7,3830.95,2450.05,2540.05
ADANIGREEN,2343.9,1892.95,949.1,1006.45
ADANIPORTS,968.55,820.45,799.5,845.65
ADANIPOWER,,294.75,330.25,379.4
ADFFOODS,711.75,757.95,1083.9,239.3
ADORWELD,948.7,849.55,1197.05,1095.4
ADSL,116.0,94.9,133.55,138.0
ADVANIHOTR,84.4,81.95,89.6,88.55
ADVENZYMES,274.35,284.7,324.55,313.65
AEGISCHEM,293.8,344.35,368.45,329.8
AEROFLEX,,,165.0,156.45
AETHER,982.8,849.85,990.75,982.2
AFFLE,1317.45,1072.05,1077.85,1109.9
AGARIND,634.75,598.5,1046.45,901.15
AGI,347.25,329.9,732.25,712.35
AGROPHOS,41.6,44.2,38.9,37.8
AGSTRA,85.15,67.0,65.35,61.95
AHL,,190.0,275.9,312.15
AHLADA,,103.45,107.1,101.55
AHLEAST,297.3,117.3,158.75,143.2
AHLUCONT,456.25,508.45,710.1,721.45
AIAENG,2523.65,2600.25,3703.8,3688.3
AIRAN,19.0,16.75,22.35,21.8
AJANTPHARM,1307.8,1200.45,1718.35,1711.1
AJMERA,271.75,309.05,373.3,378.9
AKASH,39.55,31.5,27.0,29.55
AKSHARCHEM,361.55,284.45,246.3,289.4
AKSHOPTFBR,12.85,11.2,12.05,11.0
AKZOINDIA,2137.5,2240.95,2736.55,2595.3
ALANKIT,13.25,10.85,10.3,11.2
ALBERTDAVD,570.0,571.1,795.35,760.45
ALEMBICLTD,72.1,72.6,80.95,78.95
ALICON,874.95,973.75,851.7,869.55
ALKALI,106.0,143.35,121.9,117.0
ALKEM,3190.75,3028.8,3614.75,3675.95
ALKYLAMINE,3131.25,2686.85,2489.9,2403.45
ALLCARGO,424.45,403.0,273.4,269.1
ALLSEC,531.8,515.55,588.8,607.8
ALMONDZ,91.4,75.05,89.4,91.25
ALOKINDS,,,19.9,19.1
ALPA,65.3,62.9,79.95,74.4
ALPHAGEO,323.7,289.7,293.5,307.05
AMARAJABAT,536.75,575.8,625.55,649.0
AMBER,2350.45,1872.6,2972.2,2974.6
AMBIKCO,1813.15,1560.35,1657.65,1654.9
AMBUJACEM,538.75,530.95,433.9,445.05
AMIORG,1082.25,959.55,1315.95,1297.1
AMJLAND,30.35,27.45,30.1,31.6
AMRUTANJAN,751.3,725.3,610.25,644.05
ANANDRATHI,661.35,704.35,1398.8,1411.6
ANANTRAJ,90.45,109.15,220.8,222.1
ANDHRAPAP,470.0,422.7,453.55,604.4
ANDHRSUGAR,148.6,134.25,117.55,121.1
ANDREWYU,22.3,27.75,27.35,37.6
ANGELONE,1583.6,1315.6,1915.25,1893.55
ANKITMETAL,6.25,5.8,3.0,
ANUP,983.8,949.85,2167.6,2187.35
ANURAS,773.8,693.5,1005.15,940.4
APARINDS,1257.55,1788.6,4957.4,5197.65
APCL,265.6,207.2,186.15,187.4
APCOTEXIND,577.95,468.1,547.5,513.3
APEX,342.25,250.0,232.8,236.45
APLAPOLLO,1063.05,1088.4,1729.5,1620.2
APLLTD,623.05,573.6,770.5,784.55
APOLLO,161.45,306.7,54.7,54.9
APOLLOHOSP,4341.85,4490.9,4840.35,5091.8
APOLLOPIPE,530.6,509.3,675.35,699.55
APOLLOTYRE,299.65,325.4,384.75,376.4
APTECHT,249.95,347.3,310.1,304.95
APTUS,326.0,305.6,268.4,278.45
ARIES,149.35,210.65,184.65,178.05
ARIHANTCAP,81.2,68.0,55.25,72.05
ARIHANTSUP,245.35,221.5,175.75,186.1
ARMANFIN,1504.35,1445.55,2354.2,2285.95
AROGRANITE,54.9,50.4,51.3,53.85
ARTEMISMED,66.6,73.05,127.0,135.15
ARVIND,108.85,90.45,175.45,170.85
ARVINDFASN,300.45,345.65,323.45,328.85
ARVSMART,274.95,331.6,356.5,346.1
ASAHIINDIA,634.75,517.15,587.55,600.5
ASAHISONG,325.0,265.3,229.6,255.7
ASAL,455.3,370.6,405.35,440.65
ASALCBR,473.5,427.5,436.15,435.7
ASHAPURMIN,95.35,95.2,228.3,325.4
ASHIANA,161.95,145.75,211.55,202.45
ASHIMASYN,15.05,17.05,12.9,13.15
ASHOKA,89.2,91.1,102.25,108.4
ASHOKLEY,165.1,147.4,184.2,183.0
ASIANPAINT,3395.4,3028.25,3259.55,3196.65
ASIANTILES,65.0,51.3,64.85,63.4
ASPINWALL,293.85,237.05,233.25,261.85
ASTEC,1934.75,1789.35,1405.1,1380.85
ASTERDM,247.7,233.5,329.95,341.95
ASTRAL,2505.45,2007.55,1911.1,1926.65
ASTRAMICRO,344.3,287.3,392.1,427.6
ASTRAZEN,3233.3,3353.7,4323.8,4548.7
ASTRON,37.3,32.55,29.6,34.4
ATALREAL,,,109.45,
ATAM,,,188.1,177.4
ATFL,768.3,817.95,821.7,839.7
ATGL,3601.35,3598.65,633.85,636.35
ATL,,,33.35,33.1
ATUL,9564.65,8173.6,7354.35,7324.3
ATULAUTO,193.25,288.85,597.1,585.75
AUBANK,680.85,651.05,725.65,732.5
AURIONPRO,417.3,341.65,1064.75,
AUROPHARMA,547.15,441.3,825.55,898.85
AURUM,,121.65,132.95,128.55
AUSOMENT,77.2,72.75,79.25,75.4
AUTOAXLES,2072.0,2004.95,2232.0,2295.6
AUTOBEES,134.67,127.8,161.83,166.89
AVADHSUGAR,539.75,549.6,577.9,686.9
AVALON,,,502.0,580.1
AVANTIFEED,511.0,390.15,438.15,455.3
AVG,,,251.65,263.7
AVROIND,116.8,154.45,116.6,116.8
AVTNPL,111.8,109.1,81.35,78.75
AWHCL,336.85,319.7,343.7,330.2
AWL,730.4,600.3,352.25,352.3
AXISBANK,790.0,962.3,991.15,1027.15
AXISBNKETF,416.22,437.2,450.47,469.68
AXISBPSETF,10.49,10.63,11.15,11.17
AXISCETF,80.79,76.59,84.93,87.0
AXISGOLD,43.15,47.72,50.57,50.26
AXISHCETF,79.75,80.83,95.52,99.15
AXISILVER,,70.93,75.99,73.19
AXISNIFTY,189.98,193.89,208.28,216.03
AXISTECETF,285.33,299.82,328.13,345.49
AXSENSEX,,,65.69,67.99
AYMSYNTEX,88.35,74.85,71.25,67.05
BAIDFIN,,,35.95,34.5
BAJAJ-AUTO,3768.0,3601.7,4668.45,5130.5
BAJAJCON,163.65,171.15,257.4,233.2
BAJAJELEC,1180.1,1182.4,1177.6,
BAJAJFINSV,1772.2,1563.0,1514.5,1538.1
BAJAJHCARE,380.3,454.15,371.0,413.45
BAJAJHIND,11.25,16.95,25.1,27.0
BAJAJHLDNG,7110.6,5660.5,7340.8,7103.1
BAJFINANCE,7386.3,6606.25,7320.6,7492.2
BALAJITELE,56.05,45.3,71.35,64.2
BALAMINES,3739.45,2636.0,2226.8,2207.35
BALAXI,,590.2,458.75,454.15
BALKRISHNA,39.55,,27.85,29.05
BALKRISIND,2031.45,2129.6,2361.8,2538.85
BALMLAWRIE,129.5,124.5,167.65,169.0
BALPHARMA,98.25,90.75,96.8,95.95
BALRAMCHIN,374.35,402.3,395.5,441.7
BANARBEADS,79.4,81.35,93.8,91.15
BANARISUG,3025.25,2800.3,2714.55,2859.6
BANCOINDIA,207.2,199.35,515.25,484.85
BANDHANBNK,304.6,240.55,235.1,249.35
BANG,45.8,49.0,45.9,47.2
BANKA,69.7,78.2,71.2,73.55
BANKBARODA,140.05,187.5,190.6,210.8
BANKBEES,417.53,439.23,452.8,470.74
BANKETF,,,444.27,462.01
BANKINDIA,53.0,93.7,88.0,105.75
BANSWRAS,108.9,122.9,164.8,154.45
BARBEQUE,1101.15,976.4,701.95,691.2
BASF,3163.75,2777.75,2628.55,2698.5
BASML,61.55,56.0,49.75,49.3
BATAINDIA,1888.9,1645.85,1684.2,1686.55
BAYERCROP,5139.0,4849.2,4790.45,5162.95
BBETF0432,1022.67,1033.1,1083.33,1084.55
BBL,2068.0,2467.6,4212.1,4012.6
BBOX,144.8,133.55,220.25,195.9
BBTC,1008.15,925.75,979.5,1215.9
BBTCL,,239.0,245.5,243.7
BCG,39.75,28.9,16.15,17.5
BCLIND,353.7,318.9,493.3,551.9
BDL,869.35,944.15,1143.5,1064.4
BECTORFOOD,370.55,433.35,1041.0,948.05
BEDMUTHA,68.25,60.4,70.25,72.3
BEL,111.1,100.35,137.85,135.7
BEML,,1522.3,2495.2,2409.2
BEPL,128.25,121.65,93.05,92.25
BERGEPAINT,654.85,579.05,719.85,719.7
BFINVEST,319.8,420.6,513.3,511.4
BFSI,,,20.08,20.83
BFUTILITIE,448.1,418.5,672.9,662.3
BGRENERGY,83.4,61.4,64.4,67.65
BHAGCHEM,1521.7,1269.8,1206.1,1236.4
BHAGERIA,197.7,161.3,164.05,160.45
BHAGYANGR,50.3,46.1,70.1,
BHARATFORG,784.75,878.85,1078.8,1134.4
BHARATGEAR,242.65,124.55,124.75,125.3
BHARATRAS,11966.2,9884.2,9435.65,9194.45
BHARATWIRE,120.0,107.15,241.2,261.0
BHARTIARTL,785.1,817.6,865.95,936.15
BHEL,61.7,80.35,136.15,127.6
BIGBLOC,127.75,140.0,171.0,154.9
BIKAJI,,425.75,487.05,494.65
BIOCON,299.45,263.4,260.8,276.75
BIOFILCHEM,52.05,54.25,48.25,51.95
BIRLACABLE,148.9,158.95,330.9,348.05
BIRLACORPN,1110.05,988.35,1171.1,1214.85
BIRLAMONEY,61.95,61.15,70.35,70.95
BLAL,,,180.15,171.3
BLBLIMITED,21.1,28.6,22.7,23.65
BLISSGVS,84.8,73.0,97.55,95.6
BLKASHYAP,24.7,32.0,54.05,52.8
BLS,291.55,171.5,285.75,275.95
BLUEDART,8616.2,7814.55,6282.25,6988.25
BLUESTARCO,1134.45,1204.7,745.25,794.7
BODALCHEM,96.75,79.35,84.9,82.3
BOMDYEING,105.45,80.3,137.5,152.85
BOROLTD,371.85,378.7,431.25,408.1
BORORENEW,565.75,512.25,444.25,428.25
BOSCHLTD,17341.6,17133.75,18986.8,19664.6
BPCL,331.4,336.85,344.2,352.25
BPL,83.0,64.2,73.9,88.05
BRIGADE,569.05,466.35,595.0,619.85
BRITANNIA,3721.55,4241.85,4484.35,4532.85
BRNL,37.8,40.6,38.55,41.85
BSE,668.05,565.55,1126.15,1272.95
BSLGOLDETF,45.37,50.05,53.35,53.12
BSLNIFTY,20.13,20.42,22.01,22.9
BSLSENETFG,57.67,59.2,63.9,66.14
BSOFT,319.2,299.6,528.35,504.0
BURNPUR,5.65,5.6,4.95,5.1
BUTTERFLY,1532.8,1568.65,1216.6,1238.0
BYKE,47.7,42.5,39.2,38.9
CALSOFT,22.0,20.5,14.0,14.75
CAMLINFINE,132.8,161.0,173.6,172.75
CAMPUS,552.5,411.1,303.75,301.65
CAMS,2592.6,2214.3,2356.1,2596.05
CANBK,252.45,336.8,328.4,364.85
CANFINHOME,664.35,548.65,760.0,781.25
CANTABIL,1498.45,1249.7,1021.7,1120.05
CAPACITE,186.4,156.4,228.3,215.1
CAPLIPOINT,754.7,724.55,1096.3,1044.8
CAPTRUST,102.45,79.05,92.6,105.5
CARBORUNIV,925.55,888.3,1136.35,1192.2
CARERATING,520.3,617.05,825.45,851.7
CARTRADE,690.3,482.6,563.9,594.5
CARYSIL,,469.4,666.55,636.65
CASTROLIND,117.9,125.7,142.95,145.3
CCL,520.75,541.8,604.25,673.8
CDSL,1358.75,1153.2,1141.45,1344.4
CEATLTD,1661.6,1637.7,2256.05,2139.8
CELEBRITY,22.75,18.15,19.6,18.0
CENTENKA,458.45,419.0,428.4,439.3
CENTEXT,,10.05,11.35,
CENTRALBK,21.15,32.7,34.95,47.1
CENTRUM,28.2,24.65,23.85,25.15
CENTURYPLY,679.3,516.95,691.4,669.4
CENTURYTEX,894.1,726.7,1072.05,1091.95
CERA,5771.9,5271.95,9546.3,8599.65
CESC,83.3,77.35,86.45,90.1
CGCL,724.35,756.05,806.25,767.95
CGPOWER,237.65,274.2,423.95,436.2
CHALET,348.9,351.05,540.75,559.95
CHAMBLFERT,354.35,314.55,278.95,286.65
CHEMBOND,201.4,250.55,411.85,381.0
CHEMCON,443.3,298.4,279.65,297.9
CHEMFAB,431.25,289.15,365.9,380.9
CHEMPLASTS,428.85,463.8,528.55,498.0
CHENNPETRO,280.7,208.25,412.55,518.95
CHEVIOT,1170.55,1193.5,1190.1,1188.4
CHOICEIN,473.45,257.7,380.2,415.4
CHOLAFIN,792.8,728.5,1128.85,1227.1
CHOLAHLDNG,682.1,559.95,963.85,1152.35
CIEINDIA,,,519.45,508.25
CIGNITITEC,581.05,566.25,803.8,810.15
CINEVISTA,14.35,12.0,14.05,13.75
CIPLA,1033.3,1075.9,1245.4,1235.5
CLEAN,1955.15,1488.9,1412.15,1456.9
CLEDUCATE,170.05,71.2,79.0,76.2
CLSEL,118.85,134.15,202.25,202.1
CMSINFO,275.75,311.25,358.3,362.15
COALINDIA,234.25,224.1,236.9,279.3
COASTCORP,355.9,235.65,278.25,268.0
COCHINSHIP,375.9,534.4,908.5,1107.05
COFFEEDAY,64.3,49.25,52.7,52.15
COFORGE,3418.85,4019.55,5451.9,5618.9
COLPAL,1631.35,1517.35,1939.4,1985.85
COMPINFO,26.95,20.45,13.35,12.8
COMPUSOFT,24.0,20.45,22.9,22.2
CONCOR,763.55,744.0,687.0,717.35
CONCORDBIO,,,971.05,1013.85
CONFIPET,79.45,81.2,94.55,89.9
CONSUMBEES,87.49,82.53,91.58,93.82
CONTROLPR,485.9,403.5,787.9,776.05
CORALFINAC,38.95,34.05,42.15,40.65
COROMANDEL,1027.0,900.55,1111.0,1136.7
COSMOFIRST,880.15,781.55,721.65,680.35
COUNCODOS,4.35,,4.05,4.3
CPSEETF,38.0,38.37,49.41,51.91
CRAFTSMAN,2810.2,3574.4,4895.25,4812.05
CREATIVE,499.2,575.6,581.95,516.85
CREATIVEYE,5.4,4.2,3.4,3.8
CREDITACC,1000.6,891.25,1409.2,1381.4
CREST,177.35,196.4,243.0,235.6
CRISIL,3203.3,2951.65,3929.05,3873.55
CROMPTON,404.05,347.0,303.05,307.0
CSBBANK,229.2,251.2,327.25,323.15
CSLFINANCE,240.15,265.0,315.0,321.05
CUB,182.75,178.95,125.6,132.55
CUMMINSIND,1248.3,1395.85,1706.0,1747.35
CUPID,229.75,269.65,373.25,405.3
CYBERMEDIA,18.0,18.3,18.55,
