SYMBOL,momentum_total
EXPLEOSOL,30.212
HAVELLS,30.211
INDUSINDBK,30.208
CLEAN,30.207
METROPOLIS,30.205
SAPPHIRE,30.205
TCIEXP,30.203
MPSLTD,30.202
POLYMED,30.202
TVSMOTOR,30.201
INFY,30.200
ACCELYA,30.199
INDIGOPNTS,30.197
LUXIND,30.197
BAJAJFINSV,30.196
VENUSPIPES,30.196
ROUTE,30.190
GLAXO,30.189
M&M,30.189
ZYDUSWELL,30.187
SANDUMA,30.187
UBL,30.187
ENDURANCE,30.186
APLAPOLLO,30.186
WHIRLPOOL,30.184
DENORA,30.184
TATVA,30.184
GODREJPROP,30.182
AMBIKCO,30.182
HDFCBANK,30.182
AAVAS,30.180
BATAINDIA,30.179
GLAND,30.178
STYLAMIND,30.177
AJANTPHARM,30.176
CYIENT,30.176
MAPMYINDIA,30.176
ETHOSLTD,30.175
HESTERBIO,30.174
NEOGEN,30.173
CUMMINSIND,30.173
HEG,30.173
MANKIND,30.171
PVRINOX,30.171
MCX,30.170
YASHO,30.169
SHAILY,30.168
KOTAKBANK,30.166
FIEMIND,30.165
GMMPFAUDLR,30.164
ECLERX,30.163
PHOENIXLTD,30.163
GENSOL,30.161
TORNTPHARM,30.161
VINATIORGA,30.159
ANGELONE,30.159
SHRIRAMFIN,30.157
ASTRAL,30.157
TATACOMM,30.156
GRASIM,30.153
KDDL,30.152
COLPAL,30.152
NGLFINE,30.152
RAYMOND,30.150
VENKEYS,30.150
ACC,30.149
SWARAJENG,30.148
KIMS,30.147
GRINDWELL,30.146
TRENT,30.146
GODFRYPHLP,30.146
DATAPATTNS,30.145
TCPLPACK,30.144
KAYNES,30.142
VMART,30.142
CEATLTD,30.141
QNIFTY,30.140
TIIL,30.140
UTINIFTETF,30.139
ANUP,30.138
BALAMINES,30.137
PILANIINVS,30.136
DEEPAKNTR,30.134
MAZDOCK,30.133
ARMANFIN,30.132
AUTOAXLES,30.131
LUMAXIND,30.131
ROLEXRINGS,30.130
LALPATHLAB,30.129
NILKAMAL,30.127
SRF,30.127
VINDHYATEL,30.126
DALBHARAT,30.126
MASTEK,30.126
INDIGO,30.126
ALKYLAMINE,30.125
RELIANCE,30.123
TATAINVEST,30.122
HINDUNILVR,30.122
MPHASIS,30.121
PIDILITIND,30.121
BALKRISIND,30.119
ADANIENT,30.119
IWEL,30.118
NSIL,30.118
VADILALIND,30.117
CAMS,30.116
MTARTECH,30.116
AKZOINDIA,30.116
TEAMLEASE,30.115
KOVAI,30.115
GALAXYSURF,30.114
KEI,30.114
KSB,30.113
RATNAMANI,30.112
BASF,30.112
SUNDARMFIN,30.111
THERMAX,30.110
HDFCAMC,30.110
HONDAPOWER,30.109
KENNAMET,30.109
KICL,30.108
BANARISUG,30.105
LT,30.104
JBCHEPHARM,30.102
AMBER,30.101
INGERRAND,30.101
TVSSRICHAK,30.101
HIL,30.099
INDIAMART,30.098
HEROMOTOCO,30.098
VHL,30.096
GARFIBRES,30.096
ESCORTS,30.095
VESUVIUS,30.095
TIMKEN,30.095
ASIANPAINT,30.094
TITAN,30.093
JKCEMENT,30.092
TIINDIA,30.091
SCHAEFFLER,30.091
EICHERMOT,30.088
FOSECOIND,30.088
KIRLOSIND,30.086
SAFARI,30.085
VSTIND,30.085
TCS,30.084
VSTTILLERS,30.084
PIIND,30.083
AIAENG,30.082
ALKEM,30.082
NEULANDLAB,30.082
FORCEMOT,30.080
SIEMENS,30.079
DIVISLAB,30.079
DMART,30.079
DYNAMATECH,30.078
CRISIL,30.078
PFIZER,30.077
HAL,30.076
BBL,30.075
SUPREMEIND,30.073
POWERMECH,30.070
POWERINDIA,30.070
OFSS,30.070
ABB,30.069
NAUKRI,30.067
NAVINFLUOR,30.066
ASTRAZEN,30.066
BRITANNIA,30.066
SOLARINDS,30.065
LTTS,30.064
JSWHL,30.063
CRAFTSMAN,30.062
PGHL,30.061
FINEORG,30.060
BAJAJ-AUTO,30.059
DIXON,30.059
APOLLOHOSP,30.059
VOLTAMP,30.059
APARINDS,30.058
SKFINDIA,30.058
ESABINDIA,30.058
POLYCAB,30.058
BAYERCROP,30.058
LICMFGOLD,30.056
LTIM,30.054
COFORGE,30.053
DRREDDY,30.052
ICRA,30.052
PTCIL,30.051
LINDEINDIA,30.051
PERSISTENT,30.050
GILLETTE,30.048
BLUEDART,30.043
TATAELXSI,30.042
SANOFI,30.042
BAJAJHLDNG,30.042
ATUL,30.041
MAHSCOOTER,30.040
BAJFINANCE,30.040
CERA,30.035
ULTRACEMCO,30.034
BHARATRAS,30.033
MARUTI,30.029
WENDT,30.021
LAXMIMACH,30.020
ZFCVINDIA,30.019
TASTYBITE,30.018
PGHH,30.017
BOSCHLTD,30.015
ABBOTINDIA,30.013
NESTLEIND,30.013
SHREECEM,30.011
3MINDIA,30.010
HONAUT,30.007
PAGEIND,30.007
MRF,30.003
AXISBPSETF,286.410
IDEA,206.471
HEADSUP,172.857
COMPINFO,137.143
JPASSOCIAT,131.695
LIBAS,126.774
ASHIMASYN,125.238
SEPC,125.238
CINEVISTA,110.000
INVENTURE,-9.216
NOIDATOLL,-66.774
GTLINFRA,-4.483
HEALTHY,-3303.333
SYNCOMF,-192.222
SUNDARAM,-14.118
SHAH,-11.958
FCSSOFT,-11.379
