SYMBOL,momentum_total
MRPL,33.567
RADIANTCMS,33.557
XCHANGING,33.555
IDFCFIRSTB,33.548
TNPETRO,33.521
BLISSGVS,33.505
UNIVASTU,33.499
BALPHARMA,33.490
TTL,33.486
UNIONBANK,33.484
SAIL,33.474
NATIONALUM,33.434
TOKYOPLAST,33.415
MOTHERSON,33.392
AXISHCETF,33.365
JAYSREETEA,33.359
ICICIPHARM,33.358
HDFCGROWTH,33.295
MAKEINDIA,33.294
PPLPHARMA,33.272
SAH,33.268
TFCILTD,33.250
MANGALAM,33.245
ZOMATO,33.228
MARKSANS,33.224
DWARKESH,33.203
J&KBANK,33.171
JAGRAN,33.168
CAPTRUST,33.141
BANKINDIA,33.133
KRITI,33.130
RGL,33.102
ASHOKA,33.049
RHL,33.036
MANGCHEFER,33.026
EMMBI,33.023
DONEAR,33.021
PENIND,33.018
PURVA,32.988
UGARSUGAR,32.940
WORTH,32.937
KEYFINSERV,32.931
ONMOBILE,32.920
TBZ,32.849
MAWANASUG,32.840
ICICINV20,32.823
ZODIACLOTH,32.801
SATINDLTD,32.784
HEMIPROP,32.782
ZIMLAB,32.780
KOTAKMID50,32.777
KOTAKNV20,32.771
SUNDARMHLD,32.762
KANPRPLA,32.752
MAHEPC,32.738
KCP,32.737
NV20BEES,32.732
DCBBANK,32.721
ANDHRSUGAR,32.700
LEMONTREE,32.689
KOTHARIPET,32.681
JAMNAAUTO,32.677
ICICIMCAP,32.665
HDFCSML250,32.646
WELSPUNIND,32.644
GAIL,32.635
STCINDIA,32.620
MON100,32.616
BHARATGEAR,32.602
INDOAMIN,32.595
TRIGYN,32.592
IDFC,32.576
EKC,32.575
AARVI,32.568
VETO,32.562
SMSPHARMA,32.554
BHEL,32.551
RBA,32.535
L&TFH,32.527
KANORICHEM,32.519
NELCAST,32.504
GOLDIAM,32.503
RCF,32.492
GANGESSECU,32.491
GPPL,32.469
NLCINDIA,32.462
TATASTEEL,32.460
DCMSRIND,32.452
CUB,32.448
KARURVYSYA,32.440
SATIA,32.437
PRSMJOHNSN,32.433
LOVABLE,32.415
IEX,32.413
GRAUWEIL,32.402
PRAKASH,32.399
ARTEMISMED,32.397
BEL,32.387
ADSL,32.344
EXXARO,32.323
EMAMIPAP,32.313
TEXRAIL,32.290
MANAPPURAM,32.276
ISFT,32.266
GIPCL,32.258
NIACL,32.252
MANAKSIA,32.247
